name,CID,rank,similarity_score,similarity_distance,original_name,original_id,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,TPSA,NumHeteroatoms,NumRings,NumSaturatedRings,NumAliphaticRings,FractionCSP3,MolarRefractivity,BertzCT,HeavyAtomCount
Calcium chloride,5284359,1,0.6668278794783215,0.49963735886737165,Potassium iodide,4875,110.984,-6.3728,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.754,0.0,3.0
Potassium bicarbonate,516893,2,0.396824003459824,1.520008848459803,Potassium iodide,4875,100.114,-4.1083,1.0,2.0,0.0,0.0,60.36,4.0,0.0,0.0,0.0,0.0,8.0248,23.019550008653876,5.0
"Chloric acid, Sodium salt (1:1)",516902,3,0.3838093241948821,1.6054604121400717,Potassium iodide,4875,106.44,-6.563000000000001,0.0,3.0,0.0,0.0,69.17999999999999,5.0,0.0,0.0,0.0,0.0,0.0,4.754887502163469,5.0
Copper (I) oxide,14830,4,0.36793171636620714,1.7178956189922134,Potassium iodide,4875,145.107,-0.8297000000000001,0.0,0.0,0.0,0.0,31.5,3.0,0.0,0.0,0.0,0.0,3.6138,0.0,3.0
Disodium phosphonate (Ref: IKF-916 25 SC),6336603,5,0.36231915317217284,1.7599976187977107,Potassium iodide,4875,125.959,-7.895300000000001,0.0,3.0,0.0,0.0,63.19,6.0,0.0,0.0,0.0,0.0,9.0015,23.019550008653876,6.0
"Phosphorothioic acid O-(2,6-dichloro-4-methylphenyl) O,O-dimethyl ester",91664,1,0.6203326471832386,0.612038322568911,Bromophos,16422,301.131,4.197920000000002,0.0,4.0,4.0,1.0,27.69,7.0,1.0,0.0,0.0,0.3333333333333333,70.13000000000002,379.0416414150852,16.0
Chlorthal-dimethyl (Ref: DAC 893),2943,2,0.5405455063855841,0.8499830045514724,Bromophos,16422,331.966,3.873400000000001,0.0,4.0,2.0,1.0,52.60000000000001,8.0,1.0,0.0,0.0,0.2,69.16100000000002,425.25497491833937,18.0
"1,1-Dichloro-N-[(dimethylamino)sulfonyl]-1-fluoro-N-phenylmethanesulfenamide",14145,3,0.5384363376560758,0.8572297782746349,Bromophos,16422,333.237,3.006000000000001,0.0,3.0,5.0,1.0,40.620000000000005,9.0,1.0,0.0,0.0,0.3333333333333333,74.66380000000002,452.5098163469098,18.0
Bromoxynil-butanoate,62526,4,0.5222634664122726,0.91474239404409,Bromophos,16422,347.006,3.788780000000002,0.0,3.0,3.0,1.0,50.09,5.0,1.0,0.0,0.0,0.2727272727272727,67.10000000000002,406.8369118636696,16.0
"1,1-Dichloro-N-[(dimethylamino)sulfonyl]-1-fluoro-N-(4-methylphenyl)methanesulfenamide",12898,5,0.5087840984024076,0.9654702321476251,Bromophos,16422,347.2640000000001,3.314420000000002,0.0,3.0,5.0,1.0,40.620000000000005,9.0,1.0,0.0,0.0,0.4,79.40080000000003,489.9644465893454,19.0
"Nitrous acid, Sodium salt",23668193,1,0.6190927586619435,0.6152668336184683,Potassium thiocyanate,516872,68.995,-2.7454,0.0,3.0,0.0,0.0,52.49,4.0,0.0,0.0,0.0,0.0,9.162,7.509775004326936,4.0
Calcium carbonate,10112,2,0.5847779571416826,0.710050777029743,Potassium thiocyanate,516872,100.086,-2.8278,0.0,3.0,0.0,0.0,63.19,4.0,0.0,0.0,0.0,0.0,11.15,23.019550008653876,5.0
Copper II carbonate,14452,3,0.5614038294543062,0.7812489825230021,Potassium thiocyanate,516872,123.554,-2.4495,0.0,3.0,0.0,0.0,63.19,4.0,0.0,0.0,0.0,0.0,5.396,23.019550008653876,5.0
Kieselguhr,24261,4,0.5471901076314581,0.8275184182852899,Potassium thiocyanate,516872,60.084,-0.6184000000000001,0.0,2.0,0.0,0.0,34.14,3.0,0.0,0.0,0.0,0.0,7.126999999999999,21.019550008653876,3.0
Potassium bicarbonate,516893,5,0.5374163881351248,0.8607545695993286,Potassium thiocyanate,516872,100.114,-4.1083,1.0,2.0,0.0,0.0,60.36,4.0,0.0,0.0,0.0,0.0,8.0248,23.019550008653876,5.0
Ethanedioic acid,971,1,0.5470084933711948,0.8281251792582485,Arsenic acid,234,90.03399999999999,-0.8443999999999998,2.0,2.0,0.0,0.0,74.6,4.0,0.0,0.0,0.0,0.0,15.2716,66.03910001730776,6.0
Potassium hydrogen phosphonate,23701737,2,0.4817647745553777,1.075701779821705,Arsenic acid,234,120.08499999999998,-4.437799999999999,2.0,3.0,0.0,0.0,63.52,5.0,0.0,0.0,0.0,0.0,11.3576,4.754887502163469,5.0
Potassium bicarbonate,516893,3,0.4416891754670638,1.2640355606237141,Arsenic acid,234,100.114,-4.1083,1.0,2.0,0.0,0.0,60.36,4.0,0.0,0.0,0.0,0.0,8.0248,23.019550008653876,5.0
Copper II carbonate,14452,4,0.3843077996262718,1.602080938696719,Arsenic acid,234,123.554,-2.4495,0.0,3.0,0.0,0.0,63.19,4.0,0.0,0.0,0.0,0.0,5.396,23.019550008653876,5.0
"1,2-Dihydro-3,6-pyridazinedione",21954,5,0.3823653670601329,1.6152996221614768,Arsenic acid,234,112.088,-0.9368,2.0,2.0,0.0,1.0,65.72,4.0,1.0,0.0,0.0,0.0,27.683399999999992,207.36195376207493,8.0
Medlure,20056429,1,0.40189218460839016,1.4882295259720346,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",727,232.75099999999995,3.3717000000000024,0.0,2.0,3.0,0.0,26.3,3.0,1.0,1.0,1.0,0.9166666666666666,61.99100000000005,204.0838499786226,15.0
Thiocyclam,35970,2,0.38069960977837314,1.6267429078326525,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",727,181.351,1.9598,0.0,4.0,1.0,0.0,3.24,4.0,1.0,1.0,1.0,1.0,49.98200000000003,68.10749561002055,9.0
Metaldehyde,61021,3,0.3595342151297192,1.781376452973195,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",727,176.212,1.4504,0.0,4.0,0.0,0.0,36.92,4.0,1.0,1.0,1.0,1.0,42.18800000000002,88.0,12.0
Grandlure (Ref: SHA 112401),6449788,4,0.34051089162618814,1.9367636236957644,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",727,152.23699999999997,2.711900000000001,0.0,1.0,1.0,0.0,17.07,1.0,1.0,1.0,1.0,0.7,46.39600000000002,172.47733175670794,11.0
Mepiquat,18743,5,0.3370547939561767,1.9668766560549744,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",727,114.212,1.2467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,35.69339999999999,64.10749561002055,8.0
Aldoxycarb,9570093,1,0.44046757785081486,1.2703146617041068,Formothion (Ref: SAN 6913I),17345,222.266,0.1513999999999999,1.0,5.0,3.0,0.0,84.82999999999998,7.0,0.0,0.0,0.0,0.7142857142857143,52.95550000000003,307.9474732050232,14.0
"N-[[(Methylamino)carbonyl]oxy]ethanimidothioic acid, 2-Cyanoethylester",34476,2,0.42899075835393474,1.3310525472321706,Formothion (Ref: SAN 6913I),17345,201.251,1.32268,1.0,5.0,3.0,0.0,74.47999999999999,6.0,0.0,0.0,0.0,0.5714285714285714,51.33770000000002,212.6830344844093,13.0
"3-(N-butyl-N-acetyl)-aminopropionic acid, ethyl ester (Ref: OMS 3065)",104150,3,0.41065383603063743,1.435141017227448,Formothion (Ref: SAN 6913I),17345,215.29299999999995,1.5882,0.0,3.0,7.0,0.0,46.61,4.0,0.0,0.0,0.0,0.8181818181818182,58.41200000000004,186.21499122004107,15.0
N-[3-(Dimethylamino)propyl]carbamic acid propyl ester hydrochloride (1:1),15575641,4,0.4002345240415788,1.4985350836353986,Formothion (Ref: SAN 6913I),17345,224.732,1.4960999999999998,1.0,3.0,6.0,0.0,41.57,5.0,0.0,0.0,0.0,0.8888888888888888,60.06070000000004,122.0,14.0
Trietazine (Ref: G 27901),15951,5,0.39660248191150077,1.521416394522572,Formothion (Ref: SAN 6913I),17345,229.715,1.803,1.0,5.0,5.0,1.0,53.940000000000005,6.0,1.0,0.0,0.0,0.6666666666666666,62.56170000000003,294.9066619574484,15.0
"N-[[(Methylamino)carbonyl]oxy]ethanimidothioic acid, 2-Cyanoethylester",34476,1,0.4936183690269211,1.0258565376554327,"Phosphoric acid 2,2-dichloroethenyl dimethyl ester",3039,201.251,1.32268,1.0,5.0,3.0,0.0,74.47999999999999,6.0,0.0,0.0,0.0,0.5714285714285714,51.33770000000002,212.6830344844093,13.0
"[[2-[(Dithiocarboxy)amino]ethyl]carbamodithioato(2-)-kappaS,kappaS']manganese",3032581,2,0.4034014052147786,1.4789204674871692,"Phosphoric acid 2,2-dichloroethenyl dimethyl ester",3039,265.312,-0.1732999999999999,2.0,4.0,3.0,0.0,24.06,7.0,0.0,0.0,0.0,0.5,55.93140000000001,104.0,11.0
Aldoxycarb,9570093,3,0.394801384152765,1.5329191845311732,"Phosphoric acid 2,2-dichloroethenyl dimethyl ester",3039,222.266,0.1513999999999999,1.0,5.0,3.0,0.0,84.82999999999998,7.0,0.0,0.0,0.0,0.7142857142857143,52.95550000000003,307.9474732050232,14.0
Propineb (Ref: BAY 46131),6100711,4,0.3942850026384436,1.5362364617174964,"Phosphoric acid 2,2-dichloroethenyl dimethyl ester",3039,289.79100000000005,0.2152000000000002,2.0,4.0,3.0,0.0,24.06,7.0,0.0,0.0,0.0,0.6,60.52640000000001,142.11730005192325,12.0
"N,N,N',N'-Tetramethylthioperoxydicarbonic diamide ([(H2N)C(S)]2S2)",5455,5,0.3726608818980464,1.6834048019925596,"Phosphoric acid 2,2-dichloroethenyl dimethyl ester",3039,240.444,2.0608,0.0,4.0,0.0,0.0,6.48,6.0,0.0,0.0,0.0,0.6666666666666666,67.75200000000002,140.87712379549453,12.0
"2-[(4-Amino-3,5-dichloro-6-fluoro-2-pyridinyl)oxy]acetic acid 1-methylheptyl ester",54745,1,0.6328620414235551,0.5801232093974347,2-[[Ethoxy[(1-methylethyl)amino]phosphinothioyl]oxy]benzoic acid 1-methylethyl ester,32872,367.2480000000001,4.390600000000003,1.0,5.0,9.0,1.0,74.44,8.0,1.0,0.0,0.0,0.6,88.43540000000003,507.2598624205028,23.0
"4-Amino-3,5,6-trichloro-2-pyridinecarboxylic acid, Isooctyl ester",18772488,2,0.6199183041068047,0.6131157821526618,2-[[Ethoxy[(1-methylethyl)amino]phosphinothioyl]oxy]benzoic acid 1-methylethyl ester,32872,353.677,4.997200000000003,1.0,4.0,7.0,1.0,65.21,7.0,1.0,0.0,0.0,0.5714285714285714,87.26790000000003,477.3019445460786,21.0
"[(3,5,6-Trichloro-2-pyridinyl)oxy]acetic acid, 2-Butoxyethyl ester",47455,3,0.5800249895289639,0.724063649071562,2-[[Ethoxy[(1-methylethyl)amino]phosphinothioyl]oxy]benzoic acid 1-methylethyl ester,32872,356.63300000000004,3.780500000000002,0.0,5.0,9.0,1.0,57.650000000000006,8.0,1.0,0.0,0.0,0.5384615384615384,81.44800000000004,439.5966868679965,21.0
Triclopyr-triethylammonium,42163,4,0.556625129417502,0.7965412396067739,2-[[Ethoxy[(1-methylethyl)amino]phosphinothioyl]oxy]benzoic acid 1-methylethyl ester,32872,357.6650000000001,3.8533000000000026,1.0,4.0,6.0,1.0,62.66000000000001,8.0,1.0,0.0,0.0,0.5384615384615384,85.85980000000005,416.3998302625088,21.0
Diethatyl ethyl (Ref: BAY NNT 6867),38090,5,0.48787510201367507,1.0497049262660882,2-[[Ethoxy[(1-methylethyl)amino]phosphinothioyl]oxy]benzoic acid 1-methylethyl ester,32872,311.8090000000001,2.9463000000000017,0.0,3.0,7.0,1.0,46.61,5.0,1.0,0.0,0.0,0.5,84.90400000000005,456.56171955040566,21.0
"N-[[(Methylamino)carbonyl]oxy]ethanimidothioic acid, 2-Cyanoethylester",34476,1,0.5301765474317351,0.8861641557782385,"3-[(Dimethoxyphosphinyl)oxy]-2-butenoic acid, Methyl ester",5355863,201.251,1.32268,1.0,5.0,3.0,0.0,74.47999999999999,6.0,0.0,0.0,0.0,0.5714285714285714,51.33770000000002,212.6830344844093,13.0
Aldoxycarb,9570093,2,0.47650611880761945,1.0986089381230626,"3-[(Dimethoxyphosphinyl)oxy]-2-butenoic acid, Methyl ester",5355863,222.266,0.1513999999999999,1.0,5.0,3.0,0.0,84.82999999999998,7.0,0.0,0.0,0.0,0.7142857142857143,52.95550000000003,307.9474732050232,14.0
Trietazine (Ref: G 27901),15951,3,0.3976910981176952,1.514514417680161,"3-[(Dimethoxyphosphinyl)oxy]-2-butenoic acid, Methyl ester",5355863,229.715,1.803,1.0,5.0,5.0,1.0,53.940000000000005,6.0,1.0,0.0,0.0,0.6666666666666666,62.56170000000003,294.9066619574484,15.0
2-Cyano-N-[(ethylamino)carbonyl]-2-(methoxyimino)acetamide,42614,4,0.3945318388147029,1.534649682530852,"3-[(Dimethoxyphosphinyl)oxy]-2-butenoic acid, Methyl ester",5355863,198.182,-0.6419199999999998,2.0,5.0,3.0,0.0,103.58,7.0,0.0,0.0,0.0,0.4285714285714285,47.27240000000001,270.9036607321842,14.0
"3-(N-butyl-N-acetyl)-aminopropionic acid, ethyl ester (Ref: OMS 3065)",104150,5,0.38387124499274533,1.6050401353164618,"3-[(Dimethoxyphosphinyl)oxy]-2-butenoic acid, Methyl ester",5355863,215.29299999999995,1.5882,0.0,3.0,7.0,0.0,46.61,4.0,0.0,0.0,0.0,0.8181818181818182,58.41200000000004,186.21499122004107,15.0
Sulfur,5362487,1,0.7464020025371673,0.339760607019814,Aluminium phosphide,30332,32.067,0.6482,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.591,0.0,1.0
Arsenic,5359596,2,0.6986960934351004,0.4312374283983122,Aluminium phosphide,30332,74.922,-0.3808,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.754,0.0,1.0
Cadmium,23973,3,0.6233372557681781,0.6042679797273411,Aluminium phosphide,30332,112.412,-0.0025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Copper II chloride,24014,4,0.60483097456733,0.6533544776131163,Aluminium phosphide,30332,134.452,1.3765,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.706,0.0,3.0
Barium polysulphide,6857597,5,0.5465514819051936,0.8296538077513855,Aluminium phosphide,30332,169.395,-0.3832,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.119,0.0,2.0
Kieselguhr,24261,1,0.627008495329304,0.5948747225104204,"Cyanamide (Ref: LH 21,810A)",9864,60.084,-0.6184000000000001,0.0,2.0,0.0,0.0,34.14,3.0,0.0,0.0,0.0,0.0,7.126999999999999,21.019550008653876,3.0
Copper (II) hydroxide,30154,2,0.5883002411807243,0.6998123237090471,"Cyanamide (Ref: LH 21,810A)",9864,97.56,-0.3560999999999999,0.0,2.0,0.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,3.8716,0.0,3.0
Ethanedioic acid,971,3,0.5254880383052587,0.9029928887155653,"Cyanamide (Ref: LH 21,810A)",9864,90.03399999999999,-0.8443999999999998,2.0,2.0,0.0,0.0,74.6,4.0,0.0,0.0,0.0,0.0,15.2716,66.03910001730776,6.0
"Nitrous acid, Sodium salt",23668193,4,0.4983465005906078,1.0066359426922131,"Cyanamide (Ref: LH 21,810A)",9864,68.995,-2.7454,0.0,3.0,0.0,0.0,52.49,4.0,0.0,0.0,0.0,0.0,9.162,7.509775004326936,4.0
Calcium carbonate,10112,5,0.47193327807474916,1.118943601687717,"Cyanamide (Ref: LH 21,810A)",9864,100.086,-2.8278,0.0,3.0,0.0,0.0,63.19,4.0,0.0,0.0,0.0,0.0,11.15,23.019550008653876,5.0
Quinmerac (Ref: BAS 518H),91749,1,0.7293599750384848,0.3710650902487962,1-Naphthalenol methylcarbamate,6129,221.643,2.89482,1.0,2.0,1.0,2.0,50.19,4.0,2.0,0.0,0.0,0.0909090909090909,58.44930000000002,532.9747620320156,15.0
1-Naphthaleneacetic acid,6862,2,0.662762687563776,0.508835694531721,1-Naphthalenol methylcarbamate,6129,186.21,2.4669000000000008,1.0,1.0,2.0,2.0,37.3,2.0,2.0,0.0,0.0,0.0833333333333333,55.287800000000026,460.9269342932024,14.0
"4,6-Dimethyl-N-phenyl-2-pyrimidinamine",91650,3,0.6464620002561948,0.5468813319324215,1-Naphthalenol methylcarbamate,6129,199.25700000000003,2.837040000000001,1.0,3.0,2.0,2.0,37.81,3.0,2.0,0.0,0.0,0.1666666666666666,61.23070000000003,420.6004190551679,15.0
1-naphthylacetamide,6861,4,0.6447003936987119,0.5511080957511101,1-Naphthalenol methylcarbamate,6129,185.226,1.8676,1.0,1.0,2.0,2.0,43.09,2.0,2.0,0.0,0.0,0.0833333333333333,56.84640000000002,460.9269342932024,14.0
2-naphthyloxyacetic acid,8422,5,0.6140397662097022,0.6285590201636672,1-Naphthalenol methylcarbamate,6129,202.209,2.3032000000000004,1.0,2.0,3.0,2.0,46.53,3.0,2.0,0.0,0.0,0.0833333333333333,57.07880000000003,480.1172218757299,15.0
Aldoxycarb,9570093,1,0.5211264870652539,0.9189199260078732,Cartap (Ref: TL 1258),27159,222.266,0.1513999999999999,1.0,5.0,3.0,0.0,84.82999999999998,7.0,0.0,0.0,0.0,0.7142857142857143,52.95550000000003,307.9474732050232,14.0
Glyphosate-trimesium,105048,2,0.4868672108274822,1.0539481356741902,Cartap (Ref: TL 1258),27159,245.237,-1.342099999999998,3.0,4.0,4.0,0.0,109.69,8.0,0.0,0.0,0.0,0.8333333333333334,55.46780000000003,175.46010371787764,14.0
"N-[[(Methylamino)carbonyl]oxy]ethanimidothioic acid, 2-Cyanoethylester",34476,3,0.4776653627780133,1.0935158333109716,Cartap (Ref: TL 1258),27159,201.251,1.32268,1.0,5.0,3.0,0.0,74.47999999999999,6.0,0.0,0.0,0.0,0.5714285714285714,51.33770000000002,212.6830344844093,13.0
Aviglycine-HCl (Ref: ABG 3097),16211101,4,0.45554315398404127,1.1951817105674962,Cartap (Ref: TL 1258),27159,196.634,-0.6908999999999994,3.0,4.0,5.0,0.0,98.57,6.0,0.0,0.0,0.0,0.5,47.00560000000001,130.97373660251156,12.0
Glufosinate (Ref: HOE 00661),4794,5,0.44795204417064494,1.232381820807263,Cartap (Ref: TL 1258),27159,181.128,-0.3114000000000004,3.0,3.0,4.0,0.0,100.62,6.0,0.0,0.0,0.0,0.8,40.8445,168.47733175670794,11.0
Copper II chloride,24014,1,0.7442214169951231,0.34368613582448526,Cadmium chloride (CdCl2),24947,134.452,1.3765,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.706,0.0,3.0
Copper oxychloride,18629822,2,0.6830713463761705,0.46397591599354754,Cadmium chloride (CdCl2),24947,150.451,1.3081,0.0,1.0,0.0,0.0,9.23,4.0,0.0,0.0,0.0,0.0,12.791,0.0,4.0
Barium polysulphide,6857597,3,0.6204231042836609,0.6118032889097478,Cadmium chloride (CdCl2),24947,169.395,-0.3832,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.119,0.0,2.0
Cadmium,23973,4,0.5305682355945086,0.8847717087312756,Cadmium chloride (CdCl2),24947,112.412,-0.0025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Copper (I) oxide,14830,5,0.5220703157100348,0.9154507925622305,Cadmium chloride (CdCl2),24947,145.107,-0.8297000000000001,0.0,0.0,0.0,0.0,31.5,3.0,0.0,0.0,0.0,0.0,3.6138,0.0,3.0
Thiocyclam,35970,1,0.5172606563336726,0.9332612827891626,"Tetrahydro-3,5-dimethyl-2H-1,3,5-thiadiazine-2-thione",10788,181.351,1.9598,0.0,4.0,1.0,0.0,3.24,4.0,1.0,1.0,1.0,1.0,49.98200000000003,68.10749561002055,9.0
Metaldehyde,61021,2,0.5040031647303184,0.9841145254218377,"Tetrahydro-3,5-dimethyl-2H-1,3,5-thiadiazine-2-thione",10788,176.212,1.4504,0.0,4.0,0.0,0.0,36.92,4.0,1.0,1.0,1.0,1.0,42.18800000000002,88.0,12.0
1-Methyl-2-pyrrolidinone,13387,3,0.4836968276969721,1.067410705919459,"Tetrahydro-3,5-dimethyl-2H-1,3,5-thiadiazine-2-thione",10788,99.133,0.2385999999999999,0.0,1.0,0.0,0.0,20.31,2.0,1.0,1.0,1.0,0.8,26.870999999999988,82.03910001730776,7.0
Grandlure (Ref: SHA 112401),6449788,4,0.45501870982917236,1.1977118267849467,"Tetrahydro-3,5-dimethyl-2H-1,3,5-thiadiazine-2-thione",10788,152.23699999999997,2.711900000000001,0.0,1.0,1.0,0.0,17.07,1.0,1.0,1.0,1.0,0.7,46.39600000000002,172.47733175670794,11.0
Mepiquat,18743,5,0.4184494453418148,1.3897749444574832,"Tetrahydro-3,5-dimethyl-2H-1,3,5-thiadiazine-2-thione",10788,114.212,1.2467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,35.69339999999999,64.10749561002055,8.0
"N-[[(Methylamino)carbonyl]oxy]ethanimidothioic acid, 2-Cyanoethylester",34476,1,0.5278769139509011,0.8943810073365173,"N-Acetylphosphoramidothioic acid O,S-dimethyl ester",1982,201.251,1.32268,1.0,5.0,3.0,0.0,74.47999999999999,6.0,0.0,0.0,0.0,0.5714285714285714,51.33770000000002,212.6830344844093,13.0
Fosamine (Ref: DPX 1108),33257,2,0.5106769490218456,0.9581851147098129,"N-Acetylphosphoramidothioic acid O,S-dimethyl ester",1982,153.07399999999996,0.2870000000000001,2.0,3.0,3.0,0.0,89.62,6.0,0.0,0.0,0.0,0.6666666666666666,31.0347,140.11730005192325,9.0
Daminozide,15331,3,0.5063410272010436,0.974953531867265,"N-Acetylphosphoramidothioic acid O,S-dimethyl ester",1982,160.173,-0.556,2.0,3.0,4.0,0.0,69.64,5.0,0.0,0.0,0.0,0.6666666666666666,38.69949999999999,140.11730005192325,11.0
Aldoxycarb,9570093,4,0.49670853117837516,1.0132531197473749,"N-Acetylphosphoramidothioic acid O,S-dimethyl ester",1982,222.266,0.1513999999999999,1.0,5.0,3.0,0.0,84.82999999999998,7.0,0.0,0.0,0.0,0.7142857142857143,52.95550000000003,307.9474732050232,14.0
Propamocarb (Ref: SN 39744),32490,5,0.44182427235119304,1.2633432850541306,"N-Acetylphosphoramidothioic acid O,S-dimethyl ester",1982,188.271,1.0742999999999998,1.0,3.0,6.0,0.0,41.57,4.0,0.0,0.0,0.0,0.8888888888888888,52.81270000000004,122.0,13.0
Calcium phosphate,24456,1,0.5004555606409878,0.9981794162086867,Calcium arsenate,24501,310.174,-6.7916,0.0,8.0,0.0,0.0,172.5,13.0,0.0,0.0,0.0,0.0,32.474999999999994,112.3477987825137,13.0
Zinc borate,167155,2,0.4311757709240812,1.3192397797697075,Calcium arsenate,24501,313.78799999999995,-7.903100000000001,0.0,6.0,0.0,0.0,138.36,11.0,0.0,0.0,0.0,0.0,11.508,15.509775004326936,11.0
Kaolin calcined (Ref: SIK6463.5),64742,3,0.39058216500094045,1.560280754236672,Calcium arsenate,24501,222.129,-8.7256,0.0,7.0,2.0,0.0,147.59,11.0,0.0,0.0,0.0,0.0,24.101,65.19188266301452,11.0
Aluminium ammonium sulphate,3032540,4,0.28883763989931116,2.4621526486250205,Calcium arsenate,24501,237.147,-2.680599999999999,1.0,8.0,0.0,0.0,197.02,12.0,0.0,0.0,0.0,0.0,32.68800000000001,196.41343573651116,12.0
"Sulfuric acid, Iron(3+) salt (3:2)",24826,5,0.2833806542465285,2.5288223984762377,Calcium arsenate,24501,399.879,-4.019,0.0,12.0,0.0,0.0,240.78,17.0,0.0,0.0,0.0,0.0,31.4238,320.9434661372187,17.0
